stop_name,train_class,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay,stop_lat,stop_lon
MI.P.GENOVA,REG,1.2459634015069967,-1.0,30,1858,372,241,145,45.453379,9.169303
MILANO S. CRISTOFORO,REG,0.7019024240564591,-1.0,120,6518,1127,718,317,45.442404,9.130258
MILANO VENEZIA,REG,4.301188786373315,3.0,384,22544,9798,5588,1726,45.471121,9.201889
MILAZZO,REG,1.2737354611847445,1.0,58,3697,588,279,63,38.21195,15.244203
MOGLIANO VENETO,REG,1.2012656797378234,0.0,146,8849,1105,547,187,45.561964,12.23274
MOIANA,REG,2.5272564789991065,2.0,15,1119,214,95,17,45.787082,9.255607
MOLA DI BARI,REG,2.4135585783238263,1.0,96,4558,1041,551,203,41.057227,17.080919
MOLARE,REG,3.0,3.0,1,1,0,0,0,44.621975,8.609904
MONCALIERI,REG,1.4864540637808656,1.0,152,10003,1486,542,109,44.998187,7.678027
MONEGLIA,REG,14.375,10.0,15,16,14,13,8,44.242449,9.486957
MONGUELFO VALLE DI CASIES,REG,0.6753048780487805,0.0,10,656,22,13,7,46.752775,12.107264
MONSAMPOLO DEL T,REG,5.5,5.0,2,2,2,1,0,,
MONSELICE,REG,0.5178211163416274,0.0,85,5948,835,455,173,45.246116,11.74789
MONTALE AGLIANA,REG,30.428571428571427,10.0,7,7,7,7,3,43.912924,11.008309
MONTALTO DI CASTRO,REG,1.013478486262312,-1.0,29,1929,318,180,72,42.334623,11.595085
MONTECARLO SAN SALVATORE,REG,3.3319648093841643,3.0,54,1705,717,434,133,43.850798,10.68537
MONTECORVINO,REG,10.818181818181818,8.0,9,11,11,10,3,40.617439,14.944628
MONTECOSARO,REG,2.9272211720226844,2.0,46,2116,600,294,67,43.289297,13.646378
MONTEFIASCONE,REG,1.9514802631578947,1.0,18,1216,226,112,37,42.520268,12.050448
MONTEGROSSO,REG,0.9861111111111112,0.0,16,936,67,34,15,44.818465,8.239171
MONTELUPO CAPRAIA,REG,10.364583333333334,8.0,55,96,82,67,28,43.733357,11.018997
MONTESILVANO,REG,2.1123790622674274,1.0,66,4031,828,480,120,42.515766,14.152567
MONTICELLO D`ALBA,REG,0.8034188034188035,0.0,19,1287,65,36,19,44.703736,7.965002
MONTORSOLI,REG,3.6666666666666665,1.0,2,3,1,1,0,43.881903,11.265484
MONZA,REG,2.729675029594837,2.0,395,26187,7016,3812,1291,45.577789,9.273253
MONZONE-M.DEI BANCHI-ISOLANO,REG,3.2600349040139616,2.0,28,1719,522,225,33,44.165637,10.123827
MORBEGNO,REG,5.235205992509363,3.0,72,4005,1905,1172,434,46.136663,9.568646
MOROLO,REG,1.9773584905660377,1.0,50,2650,535,279,83,41.667018,13.194557
MORREA-CASTRONOVO-RENDINARA,REG,5.25,0.0,7,8,1,1,1,,
MORROVALLE MONTE S.GIUSTO,REG,2.4856361149110806,2.0,47,2193,513,232,67,43.279189,13.58285
MORTARA,REG,3.144249049429658,2.0,83,4208,1354,779,272,45.252171,8.731639
MOTTA S. DAMIANO,REG,2.3856209150326797,1.0,22,1836,463,261,89,45.178344,9.219866
NAPOLI CENTRALE,REG,0.30963446803165434,-1.0,128,7961,1448,757,337,40.852933,14.272908
NAPOLI GIANTURCO,REG,3.3333333333333335,-2.0,3,3,1,1,1,40.853959,14.288213
NAPOLI PIAZZA LEOPARDI,REG,4.333333333333333,2.0,3,3,1,1,1,40.82397,14.199117
NAVACCHIO,REG,2.7591087021981333,2.0,56,3321,1038,537,105,43.685941,10.486806
NETTUNO,REG,0.3576598311218335,0.0,31,1658,112,64,34,41.459558,12.662123
NIZZA MONFERRATO,REG,0.9833506763787722,0.0,16,961,69,35,15,44.772905,8.361146
NOALE SCORZE`,REG,0.8812313803376366,1.0,70,5035,596,219,77,45.553833,12.074888
NOVARA MONTALBANO FURNARI,REG,2.2194674012855833,2.0,16,1089,239,93,16,38.121516,15.130702
OCCHIOBELLO,REG,3.728307254623044,2.0,10,703,263,151,36,44.899384,11.621197
OLBIA,REG,0.5014084507042254,-1.0,21,1065,90,55,28,40.924595,9.498293
OLGIATE-CALCO-BRIVIO,REG,2.9205721814417465,1.0,70,5313,1227,723,261,45.729166,9.40377
OLIVERI TINDARI,REG,1.8868445262189513,2.0,16,1087,288,120,19,38.128346,15.056573
OLMENETA,REG,2.378470970068518,1.0,75,5546,1344,823,319,45.231099,10.03194
OLMI SPERCENIGO,REG,2.753605015673981,2.0,23,1595,305,130,41,45.679467,12.338101
ORBETELLO,REG,2.232207792207792,1.0,30,1925,429,265,92,42.450615,11.248972
ORNAVASSO,REG,3.310027598896044,2.0,17,1087,307,162,44,45.970296,8.415892
ORTANOVA,REG,3.2186723464678737,2.0,65,2817,839,464,151,41.350441,15.732059
ORTONA,REG,2.303244837758112,1.0,23,1695,414,202,58,42.354196,14.407698
OSCHIRI,REG,1.5852941176470587,1.0,30,1360,165,99,43,40.713273,9.107749
OSNAGO,REG,3.055063171789553,1.0,69,5303,1358,786,253,45.678532,9.386995
OSPEDALETTO EUGANEO,REG,2.2151717557251906,1.0,36,2096,384,177,55,45.221706,11.606553
OSPITALETTO TRAVAGLIATO,REG,1.966281492706952,1.0,64,5279,941,496,164,45.546042,10.074363
OSTERIA NUOVA,REG,3.057899901864573,2.0,85,5095,1338,832,305,44.586613,11.236525
OZZANO TARO,REG,4.298338062423997,3.0,54,2467,1047,601,155,44.712268,10.141022
PAESTUM,REG,5.705882352941177,4.0,7,17,9,8,3,40.421691,15.014915
PAGANICA,REG,1.0292911540714704,1.0,35,1707,167,52,12,42.334751,13.464317
PALAGIANO CHIATONA,REG,1.2458233890214798,0.0,5,419,72,48,24,40.516998,17.059217
PALAZZOLO,REG,1.232849604221636,1.0,28,1516,135,54,11,,
PALERMO CENTRALE,REG,-0.5441036128152693,-1.0,132,7335,395,190,110,38.109187,13.367515
