stop_name,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
PARONA LOMELLINA,Fri,3.0430711610486894,2.0,54,534,178,100,34
PASSIGNANO SUL TRASIMENO,Fri,4.002985074626865,3.0,29,335,130,83,21
PAVIA,Fri,3.966804979253112,3.0,184,2169,897,545,179
PAVIA PORTA GARIBALDI,Fri,6.645756457564576,4.0,22,271,156,97,37
PERAROLO DI CADORE,Fri,1.7569444444444444,1.0,23,144,29,9,0
PESCARA TRIBUNALE,Fri,1.7722772277227723,1.0,26,303,60,32,6
PIAZZA AL SERCHIO,Fri,0.8588588588588588,0.0,35,333,45,26,7
PIEDIMULERA,Fri,3.3292682926829267,2.0,17,164,43,20,4
PIETRABISSARA,Fri,10.0,10.0,1,1,1,1,0
PIGNATARO MAGGIORE,Fri,27.0,27.0,1,1,1,1,1
PIOMBINO,Fri,-0.32432432432432434,0.0,17,74,11,2,1
PIOPPE DI SALVARO,Fri,2.0714285714285716,2.0,48,532,83,27,7
