stop_name,train_class,day_of_week,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
ACIREALE,IC,Tue,9.174603174603174,4.0,11,63,34,21,15
ALASSIO,IC,Tue,7.008474576271187,6.0,10,118,96,69,21
ALCANTARA,IC,Tue,9.8,0.0,2,5,2,2,2
AMANTEA,IC,Tue,9.805555555555555,2.0,13,108,39,27,17
ANCONA,IC,Tue,2.0701754385964914,1.0,17,171,52,35,18
ARIANO IRPINO,IC,Tue,0.5,-1.0,2,26,6,4,2
AUGUSTA,IC,Tue,9.476923076923077,2.0,11,65,21,16,9
BARLETTA,IC,Tue,6.3125,3.0,15,144,72,54,22
BATTIPAGLIA,IC,Tue,11.85430463576159,3.0,14,151,72,60,38
BISCEGLIE,IC,Tue,7.151079136690647,4.0,13,139,75,54,29
BORDIGHERA,IC,Tue,3.1666666666666665,3.0,6,78,26,16,5
BOTRICELLO,IC,Tue,12.01923076923077,8.0,4,52,48,39,21
BRUCOLI,IC,Tue,2.5,2.0,1,2,0,0,0
CAPO D`ORLANDO-NASO,IC,Tue,10.395348837209303,5.0,8,43,24,20,10
CARIATI,IC,Tue,14.115384615384615,11.0,4,52,44,41,28
CASERTA,IC,Tue,8.384615384615385,2.0,2,26,13,13,12
CATANIA CENTRALE,IC,Tue,8.0,2.0,11,65,22,15,15
CECINA,IC,Tue,3.2162162162162162,1.0,6,74,26,22,6
CEFALU`,IC,Tue,6.953488372093023,-1.0,8,43,11,9,8
CIVITANOVA MARCHE,IC,Tue,3.181159420289855,1.0,11,138,53,37,15
EBOLI,IC,Tue,10.045454545454545,6.0,4,44,29,24,9
FIRENZE S.M.N.,IC,Tue,7.75,5.0,4,44,29,22,12
FOGGIA,IC,Tue,3.9375,2.0,15,144,60,49,20
FROSINONE,IC,Tue,2.1153846153846154,2.0,2,26,13,13,12
GIOIA DEL COLLE,IC,Tue,6.923076923076923,2.0,1,13,5,5,4
GIULIANOVA,IC,Tue,4.343065693430657,2.0,11,137,57,44,12
GRASSANO,IC,Tue,6.386363636363637,3.0,4,44,22,16,8
LATIANO,IC,Tue,2.0,1.0,1,2,0,0,0
MELITO DI PORTO SALVO,IC,Tue,9.75,5.0,4,52,29,24,12
