stop_name,avg_arrival_delay,median_arrival_delay,count_trains,count_stops,count_3m_delay,count_5m_delay,count_10m_delay
LIMONE,-2.2245657568238215,-3.0,20,806,27,20,10
LIVORNO CENTRALE,1.9932842567480304,1.0,136,7743,1822,1091,433
LOCATE V. - CARBONATE,0.002097064110245656,0.0,61,3338,0,0,0
LOCRI,3.7380250552689755,2.0,42,2714,957,601,218
LOMAZZO,0.0012763241863433313,0.0,64,4701,0,0,0
LOMELLO,3.5583464154892726,3.0,28,1911,683,350,84
LONIGO,12.5,10.0,7,8,8,8,3
LUINO,4.4653878231859885,3.0,17,1199,531,305,72
LUNI,5.2,3.0,7,15,6,6,2
L`AQUILA,0.8339898705683737,0.0,33,1777,253,107,37
M N CADORNA,0.0038614771682500765,0.0,275,16315,0,0,0
MAGLIANO CRAVA MOROZZO,-0.13964313421256788,-1.0,18,1289,56,35,13
MALNATE,0.002349423323366083,0.0,78,4682,0,0,0
MANDELLO DEL LARIO,4.161956034096007,2.0,79,4458,1521,950,386
MANIAGO,-2.1480804387568555,-2.0,11,547,4,4,3
MANTOVA FRASSINE,0.647189349112426,0.0,23,1352,108,52,24
MARANO TICINO,2.567279767666989,2.0,14,1033,170,63,22
MARAUSA,0.7688564476885644,0.0,19,1233,125,61,27
MARCELLINA-PALOMBARA,1.8600388780894197,1.0,56,3601,666,284,76
MARINA DI MARATEA,8.0,9.0,2,3,2,2,1
MARSALA,1.422051282051282,1.0,31,1950,391,182,79
MARTINSICURO,4.0,4.0,1,1,1,0,0
MASI TORELLO,0.5985626283367557,0.0,18,974,91,42,19
MELE,5.069204152249135,3.0,23,1734,859,566,206
MELITO DI PORTO SALVO,1.658978102189781,0.0,54,3425,621,412,181
MELZO,2.426440677966102,1.0,107,7375,1819,1229,402
MELZO SCALO,32.0,32.0,1,1,1,1,1
MERANA,5.312632321806634,5.0,23,1417,915,555,70
MERANO MAIA BASSA,1.9210813762971055,1.0,50,3662,724,249,43
MERGOZZO,3.286466165413534,2.0,32,1330,354,220,97
MERONE,0.009726443768996961,0.0,50,3290,1,1,1
MEZZANO,2.6832326985601487,2.0,34,2153,434,168,60
MI.P.GENOVA,1.2459634015069967,-1.0,30,1858,372,241,145
MIGLIARINO,1.3590534979423867,1.0,18,972,92,37,17
MILANO CENTRALE,3.9817121548714693,2.0,374,25208,8684,5603,2731
MILANO NORD DOMODOSSOLA,0.0016475670925932707,0.0,428,27313,0,0,0
MILANO NORD QUARTO OGGIARO,2.293118856121537,2.0,31,2238,535,216,27
MILANO ROGOREDO,2.587155071900505,1.0,498,30876,8738,5400,2081
MILANO ROMOLO,17.0,24.0,2,3,2,2,2
MILANO VENEZIA,4.301188786373315,3.0,384,22544,9798,5588,1726
MILI MARINA,7.0,7.0,1,1,1,1,0
MIRADOLO TERME,5.3902838427947595,4.0,22,1832,1087,680,143
MIRTO CROSIA,4.914835164835165,4.0,21,1456,775,475,136
MODANE,8.506493506493506,1.0,4,77,34,33,27
MODENA,2.875977653631285,1.0,202,13425,3971,2751,1330
MODENA PIAZZA MANZONI,0.15472387037882246,0.0,40,2191,64,31,8
MODUGNO,4.300667222685571,6.0,36,2398,1215,1205,90
MOLA DI BARI,2.4135585783238263,1.0,96,4558,1041,551,203
MOLARE,3.0,3.0,1,1,0,0,0
MOMBARUZZO,0.8223615464994776,0.0,16,957,59,32,10
